INGRESADO,WK IN,N°REF ASLI,EJECUTIVO,SHIPPER,BOOKING,CANT CONT.,CONTENEDOR,WK ETD,NAVIERA,NAVE INICIAL,ESPECIE,T°,CBM,CT,CO2,O2,POL,POD,DEPÓSITO ,ETD,ETA,TT,FLETE,ESTADO,ROLEADA DESDE,INGRESO STACKING,TIPO INGRESO,N° BL ,ESTADO BL/SWB,CONTRATO,MES DE INGRESO,MES DE ZARPE,SEMANA DE ARRIBO,MES DE ARRIBO,FACTURACION,BOOKING PDF,COMENTARIO,OBSERVACION
16-02-2026,8,A0058,RODRIGO CACERES,COPEFRUT,266511807,1,MNBU4282293,9,MAERSK,MAERSK BATAM [608N],MANZANA,-0.5,30,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA VAP,26-02-2026,13-03-2026,15,PREPAID,CONFIRMADA,,,NORMAL,,,ASLI,2,2,11,3,,,,
16-02-2026,8,A0059,RICARDO LAZO,FENIX,SAA0002495,1,FBIU538507-4,8,WAN HAI,YM ENLIGHTENMENT [W091],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,SHANGHAI,MEDLOG SAI,20-02-2026,28-03-2026,36,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,12,,,,,,,
17-02-2026,8,A0060,RODRIGO CACERES,COPEFRUT,266545444,1,MNBU0213484,9,MAERSK,MAERSK BATAM [608N],CIRUELA,-0.5,10,NO,,,VALPARAISO,VADO LIGURE,CONTOPSA SAI,26-02-2026,30-03-2026,32,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,2,2,14,3,,,,
17-02-2026,8,A0061,RODRIGO CACERES,COPEFRUT,266545466,,,9,MAERSK,MAERSK BATAM [608N],CIRUELA,-0.5,10,NO,,,VALPARAISO,VADO LIGURE,CONTOPSA SAI,26-02-2026,30-03-2026,32,COLLECT,CANCELADO,,,NORMAL,,,ASLI,2,2,14,3,,,,
18-02-2026,8,A0062,RODRIGO CACERES,COPEFRUT,266566248,1,MMAU1054536,9,MAERSK,MAERSK BATAM [608N],CIRUELA,-0.5,10,NO,,,VALPARAISO,ROTTERDAM,CONTOPSA VAP,26-02-2026,23-03-2026,25,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,2,2,13,3,,,,
18-02-2026,8,A0063,RODRIGO CACERES,COPEFRUT,266566328,1,MNBU3692457,9,MAERSK,MAERSK BATAM [608N],CIRUELA,-0.5,10,NO,,,VALPARAISO,ROTTERDAM,CONTOPSA VAP,26-02-2026,23-03-2026,25,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,2,2,13,3,,,,
18-02-2026,8,A0064,RODRIGO CACERES,COPEFRUT,266566063,,,9,MAERSK,MAERSK BATAM [608N],CIRUELA,-0.5,10,NO,,,VALPARAISO,ALGECIRAS,CONTOPSA VAP,26-02-2026,25-03-2026,27,COLLECT,CANCELADO,,,NORMAL,,,ASLI,2,2,13,3,,,,
18-02-2026,8,A0065,RODRIGO CACERES,COPEFRUT,266568926,1,MNBU3890447,9,MAERSK,MAERSK BATAM [608N],MANZANA,-0.5,30,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA VAP,26-02-2026,13-03-2026,15,COLLECT,CONFIRMADA,,,NORMAL,,,299262739,2,2,11,3,,,,
18-02-2026,8,A0066,RODRIGO CACERES,COPEFRUT,266568985,1,MNBU3885034,9,MAERSK,MAERSK BATAM [608N],MANZANA,-0.5,30,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA VAP,26-02-2026,13-03-2026,15,COLLECT,CONFIRMADA,,,NORMAL,,,299262739,2,2,11,3,,,,
18-02-2026,8,A0067,RODRIGO CACERES,COPEFRUT,266569025,1,MNBU3489687,9,MAERSK,MAERSK BATAM [608N],MANZANA,-0.5,30,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA VAP,26-02-2026,13-03-2026,15,COLLECT,CONFIRMADA,,,NORMAL,,,299262739,2,2,11,3,,,,
18-02-2026,8,A0068,RODRIGO CACERES,COPEFRUT,SIN ASIGNACION,,,9,MAERSK,MAERSK BATAM [608N],MANZANA,-0.5,30,NO,,,VALPARAISO,BARRANQUILLA,CONTOPSA VAP,26-02-2026,15-03-2026,17,COLLECT,CONFIRMADA,,,NORMAL,,,299262739,2,2,12,3,,,,
"19-02-2026,8,A0069,HANS VASQUEZ,EXPORTADORA DEL SUR,C987033560,1,YMLU5489665,,YANG MING,WAN HAI V02,CIRUELA,-1,15,NO,,,SAN ANTONIO,NHAVA SHEVA,AGUNSA SAI,,,,PREPAID,CONFIRMADA,,23-02-2026,NORMAL,,,ASLI,12,,,,,,""CIF, PREPAID, TARIFA NETA"","
26-02-2026,9,A0070,RODRIGO CACERES,COPEFRUT,266685036,,,10,MAERSK,FORT DESAIX [609N],MANZANA,1,10,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA SAI,05-03-2026,20-03-2026,15,COLLECT,CONFIRMADA,,,NORMAL,,,GREEN AND FRESH,2,3,12,3,,,,
19-02-2026,8,A0071,RODRIGO CACERES,COPEFRUT,266685117,,,10,MAERSK,FORT DESAIX [609N],MANZANA,1,10,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA SAI,05-03-2026,20-03-2026,15,COLLECT,CONFIRMADA,,,NORMAL,,,GREEN AND FRESH,2,3,12,3,,,,
19-02-2026,8,A0072,RODRIGO CACERES,COPEFRUT,266685419,,,10,MAERSK,FORT DESAIX [609N],MANZANA,-0.5,30,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA SAI,05-03-2026,20-03-2026,15,COLLECT,CONFIRMADA,,,NORMAL,,,GREEN AND FRESH,2,3,12,3,,,,
19-02-2026,8,A0073,RODRIGO CACERES,COPEFRUT,266685454,,,10,MAERSK,FORT DESAIX [609N],MANZANA,-0.5,30,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA SAI,05-03-2026,20-03-2026,15,COLLECT,CONFIRMADA,,,NORMAL,,,GREEN AND FRESH,2,3,12,3,,,,
19-02-2026,8,A0074,RODRIGO CACERES,COPEFRUT,266634056,,,9,MAERSK,FORT DESAIX [609N],MANZANA,-0.5,30,NO,,,VALPARAISO,HELSINKI,CONTOPSA VAP,05-03-2026,07-04-2026,33,COLLECT,CONFIRMADA,,,NORMAL,,,COPEFRUT,2,3,15,4,,,,
19-02-2026,8,A0075,RODRIGO CACERES,COPEFRUT,266638160,,,9,MAERSK,FORT DESAIX [609N],CIRUELA,-0.5,10,NO,,,VALPARAISO,VADO LIGURE,CONTOPSA VAP,05-03-2026,06-04-2026,32,COLLECT,CONFIRMADA,,,NORMAL,,,COPEFRUT,2,3,15,4,,,,
19-02-2026,8,A0076,RODRIGO CACERES,COPEFRUT,266638218,,,9,MAERSK,FORT DESAIX [609N],CIRUELA,-0.5,10,NO,,,VALPARAISO,ALGECIRAS,CONTOPSA VAP,05-03-2026,01-04-2026,27,COLLECT,CONFIRMADA,,,NORMAL,,,COPEFRUT,2,3,14,4,,,,
23-02-2026,8,A0077,RODRIGO CACERES,COPEFRUT,266685603,,,9,MAERSK,FORT DESAIX [609N],MANZANA,-0.5,30,NO,,,VALPARAISO,BALBOA,CONTOPSA SAI,05-03-2026,13-03-2026,8,COLLECT,CANCELADO,,,NORMAL,,,COPEFRUT,2,3,11,3,,,,
23-02-2026,8,A0078,RODRIGO CACERES,COPEFRUT,266690289,,,9,MAERSK,FORT DESAIX [609N],MANZANA,-0.5,30,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA SAI,05-03-2026,20-03-2026,15,COLLECT,CANCELADO,,,NORMAL,,,COPEFRUT,2,3,12,3,,,,
23-02-2026,8,A0079,RODRIGO CACERES,COPEFRUT,266689529,,,9,MAERSK,MAERSK LIMA [608w],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,KEELUNG,CONTOPSA SAI,04-03-2026,05-04-2026,32,COLLECT,CONFIRMADA,,,NORMAL,,,COPEFRUT,2,3,15,4,,,,
23-02-2026,8,A0080,RODRIGO CACERES,COPEFRUT,266690220,,,9,MAERSK,MAERSK LIMA [608w],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,KEELUNG,CONTOPSA SAI,04-03-2026,05-04-2026,32,COLLECT,CONFIRMADA,,,NORMAL,,,COPEFRUT,2,3,15,4,,,,
24-02-2026,8,A0081,RODRIGO CACERES,COPEFRUT,266738827,,,9,MAERSK,FORT DESAIX [609N],MANZANA,-0.5,30,NO,,,VALPARAISO,ACAJUTLA,CONTOPSA SAI,05-03-2026,30-03-2026,25,COLLECT,CONFIRMADA,,,NORMAL,,,COPEFRUT,2,3,14,3,,,,
24-02-2026,8,A0082,RODRIGO CACERES,COPEFRUT,266805727,,,9,MAERSK,MAERSK LIMA [608w],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,HONG KONG,CONTOPSA SAI,04-03-2026,30-03-2026,26,COLLECT,CONFIRMADA,,,NORMAL,,,COPEFRUT,2,3,14,3,,,,
24-02-2026,8,A0083,RODRIGO CACERES,COPEFRUT,,,,9,MAERSK,FORT DESAIX [609N],MANZANA,-0.5,30,NO,,,VALPARAISO,PUERTO QUETZAL,CONTOPSA SAI,05-03-2026,,,COLLECT,PENDIENTE,,,NORMAL,,,COPEFRUT,2,3,,,,,,
24-02-2026,8,A0084,RODRIGO CACERES,COPEFRUT,,,,9,MAERSK,FORT DESAIX [609N],MANZANA,1,10,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA SAI,05-03-2026,,,COLLECT,PENDIENTE,,,NORMAL,,,COPEFRUT,2,3,,,,,,
24-02-2026,8,A0085,RODRIGO CACERES,COPEFRUT,,,,9,MAERSK,FORT DESAIX [609N],MANZANA,1,10,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA SAI,05-03-2026,,,COLLECT,PENDIENTE,,,NORMAL,,,COPEFRUT,2,3,,,,,,
24-02-2026,8,A0086,RODRIGO CACERES,COPEFRUT,,,,9,MAERSK,FORT DESAIX [609N],CIRUELA,-0.5,10,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA SAI,05-03-2026,,,COLLECT,PENDIENTE,,,NORMAL,,,COPEFRUT,2,3,,,,,,
